country;value_exported;quantity_exported;Quantity unit;unit_value;Growth in exported value between 2019-2023 ;Growth in exported quantity between 2019-2023;Total imports growth in value of partner countries between 2019-2023;Average distance between partner countries and all their supplying markets
World;695688;762057;Tons;913;26;27;7;
Kenya;104794;120461;Tons;870;26;23;6;8690
Angola;76993;77440;Tons;994;26;34;8;9348
Philippines;88619;69491;Tons;1275;36;40;-5;3652
Tanzania;46543;60636;Tons;768;24;27;-1;8849
Pakistan;22571;39196;Tons;576;18;13;19;9179
Mozambique;27153;35662;Tons;761;19;25;-17;7570
Nigeria;23414;33759;Tons;694;2;13;-11;5199
India;32002;32616;Tons;981;51;49;3;11644
Ghana;26482;29956;Tons;884;12;18;7;8090
Iraq;17766;27930;Tons;636;49;58;24;4128
Benin;13700;21732;Tons;630;31;49;23;6560
Thailand;38111;21039;Tons;1811;76;49;2;4829
Madagascar;15895;18402;Tons;864;6;17;7;8937
Guinea;7756;12070;Tons;643;15;19;1;6533
Cameroon;9493;11774;Tons;806;26;19;1;5662
United Arab Emirates;5285;10532;Tons;502;1;29;28;7085
Congo;6166;10152;Tons;607;25;36;8;9150
