country;value_exports;quantity_exported;Quantity unit;Unit value (USD/unit);Growth in exported value between 2019-2023 (%, p.a.);Growth in exported quantity between 2019-2023 (%, p.a.);Total imports growth in value of partner countries between 2019-2023 (%, p.a.);CO2 emission (tons);Average distance between partner countries and all their supplying markets (km)
World;340129;442677;Tons;768;-1;-4;7;N/A;
Netherlands;38611;70758;Tons;546;0;-6;-12;N/A;963
Poland;47044;61441;Tons;766;5;-6;-2;N/A;1341
Turkey;18074;29083;Tons;621;16;11;14;N/A;2254
United Arab Emirates;14505;27996;Tons;518;7;8;28;N/A;7085
Belgium;16177;27090;Tons;597;11;3;7;N/A;834
Italy;16223;20761;Tons;781;4;-2;13;N/A;2708
Tunisia;12166;18797;Tons;647;1;-4;-3;N/A;2448
Bulgaria;16681;18324;Tons;910;21;12;17;N/A;1673
Romania;11334;16035;Tons;707;-2;-7;2;N/A;926
Hungary;8615;14928;Tons;577;3;0;4;N/A;1030
Czech Republic;6018;11301;Tons;533;-8;-14;2;N/A;569
Lithuania;11175;11020;Tons;1014;14;17;2;N/A;1386
Ukraine;15104;10632;Tons;1421;6;15;-3;N/A;1905
Morocco;6405;10210;Tons;627;14;4;55;N/A;1477
Pakistan;2846;9955;Tons;286;-16;-17;19;N/A;9179
Togo;5394;9087;Tons;594;8;12;6;N/A;6213
Cameroon;11346;7824;Tons;1450;3;1;1;N/A;5662
Spain;4381;7641;Tons;573;-13;-8;0;N/A;2094
Slovakia;3597;5389;Tons;667;29;29;1;N/A;1358
Ghana;4092;4533;Tons;903;-14;-11;7;N/A;8090
Iraq;3170;4171;Tons;760;-12;1;24;N/A;4128
India;1035;4084;Tons;253;-28;-29;3;N/A;11644
Chile;4485;3422;Tons;1311;-5;-12;15;N/A;10702
