country,latitude,longitude
Albania,5.7587654,-73.9151617
Angola,-11.8775768,17.5691241
Belgium,50.6402809,4.6667145
Bulgaria,42.6073975,25.4856617
Burkina Faso,12.0753083,-1.6880314
Canada,61.0666922,-107.991707
Chile,-31.7613365,-71.3187697
China,35.0000663,104.999955
Congo,-2.9814344,23.8222636
Dominican Republic,19.0974031,-70.3028026
El Salvador,13.8000382,-88.9140683
Germany,51.1638175,10.4478313
Ghana,8.0300284,-1.0800271
Guatemala,15.5855545,-90.345759
Guinea,10.7226226,-10.7083587
Honduras,15.2572432,-86.0755145
Hungary,47.1817585,19.5060937
India,22.3511148,78.6677428
Iraq,33.0955793,44.1749775
Italy,42.6384261,12.674297
Kenya,1.4419683,38.4313975
Malaysia,4.5693754,102.2656823
Mexico,23.6585116,-102.0077097
Mozambique,-19.302233,34.9144977
Netherlands,52.2434979,5.6343227
Nicaragua,12.6090157,-85.2936911
Nigeria,9.6000359,7.9999721
Pakistan,30.3308401,71.247499
Philippines,12.7503486,122.7312101
Poland,52.215933,19.134422
Romania,45.9852129,24.6859225
Senegal,14.4750607,-14.4529612
Slovakia,48.7411522,19.4528646
Tanzania,-6.5247123,35.7878438
Tanzania,-6.5247123,35.7878438
Thailand,14.8971921,100.83273
Tunisia,36.8002068,10.1857757
Turkey,39.294076,35.2316631
Uganda,1.5333554,32.2166578
United Arab Emirates,24.0002488,53.9994829
United States,39.7837304,-100.445882
Zambia,-14.5189121,27.5589884
