Month,Shein,Flohmarkt,Search_Type
2004-01,0,20,Web
2004-02,0,22,Web
2004-03,0,34,Web
2004-04,0,39,Web
2004-05,0,45,Web
2004-06,0,36,Web
2004-07,0,37,Web
2004-08,0,39,Web
2004-09,0,39,Web
2004-10,0,35,Web
2004-11,0,25,Web
2004-12,0,14,Web
2005-01,0,22,Web
2005-02,0,21,Web
2005-03,0,31,Web
2005-04,0,44,Web
2005-05,0,43,Web
2005-06,0,35,Web
2005-07,0,41,Web
2005-08,0,41,Web
2005-09,0,43,Web
2005-10,0,38,Web
2005-11,0,27,Web
2005-12,0,13,Web
2006-01,0,20,Web
2006-02,0,23,Web
2006-03,0,30,Web
2006-04,0,42,Web
2006-05,0,39,Web
2006-06,0,36,Web
2006-07,0,38,Web
2006-08,0,42,Web
2006-09,0,42,Web
2006-10,0,36,Web
2006-11,0,24,Web
2006-12,0,16,Web
2007-01,0,21,Web
2007-02,0,24,Web
2007-03,0,35,Web
2007-04,0,50,Web
2007-05,0,44,Web
2007-06,0,36,Web
2007-07,0,34,Web
2007-08,0,40,Web
2007-09,0,46,Web
2007-10,0,34,Web
2007-11,0,21,Web
2007-12,0,16,Web
2008-01,0,18,Web
2008-02,0,28,Web
2008-03,0,33,Web
2008-04,0,38,Web
2008-05,0,44,Web
2008-06,0,37,Web
2008-07,0,35,Web
2008-08,0,42,Web
2008-09,0,40,Web
2008-10,0,32,Web
2008-11,0,23,Web
2008-12,0,14,Web
2009-01,0,18,Web
2009-02,0,20,Web
2009-03,0,31,Web
2009-04,0,42,Web
2009-05,0,45,Web
2009-06,0,39,Web
2009-07,0,35,Web
2009-08,0,43,Web
2009-09,0,41,Web
2009-10,0,31,Web
2009-11,0,23,Web
2009-12,0,13,Web
2010-01,0,14,Web
2010-02,0,17,Web
2010-03,0,27,Web
2010-04,0,40,Web
2010-05,0,40,Web
2010-06,0,31,Web
2010-07,0,31,Web
2010-08,0,39,Web
2010-09,0,40,Web
2010-10,0,32,Web
2010-11,0,21,Web
2010-12,0,10,Web
2011-01,0,28,Web
2011-02,0,32,Web
2011-03,0,44,Web
2011-04,0,58,Web
2011-05,0,52,Web
2011-06,0,58,Web
2011-07,0,57,Web
2011-08,0,55,Web
2011-09,0,61,Web
2011-10,0,57,Web
2011-11,0,37,Web
2011-12,0,20,Web
2012-01,0,28,Web
2012-02,0,32,Web
2012-03,0,57,Web
2012-04,0,70,Web
2012-05,0,70,Web
2012-06,0,62,Web
2012-07,0,60,Web
2012-08,0,68,Web
2012-09,0,76,Web
2012-10,0,57,Web
2012-11,0,40,Web
2012-12,0,23,Web
2013-01,0,28,Web
2013-02,0,36,Web
2013-03,0,54,Web
2013-04,0,69,Web
2013-05,0,78,Web
2013-06,0,73,Web
2013-07,0,59,Web
2013-08,0,75,Web
2013-09,0,80,Web
2013-10,0,62,Web
2013-11,0,47,Web
2013-12,0,27,Web
2014-01,0,37,Web
2014-02,0,49,Web
2014-03,0,70,Web
2014-04,0,77,Web
2014-05,0,80,Web
2014-06,0,71,Web
2014-07,0,59,Web
2014-08,0,82,Web
2014-09,0,74,Web
2014-10,0,71,Web
