Month,Boohoo,Charity Shop,Search_Type
2004-01,0,0,Web
2004-02,0,1,Web
2004-03,0,1,Web
2004-04,0,1,Web
2004-05,0,1,Web
2004-06,0,1,Web
2004-07,0,1,Web
2004-08,0,1,Web
2004-09,0,1,Web
2004-10,0,1,Web
2004-11,0,1,Web
2004-12,0,1,Web
2005-01,0,1,Web
2005-02,0,2,Web
2005-03,0,2,Web
2005-04,0,1,Web
2005-05,0,1,Web
2005-06,0,1,Web
2005-07,0,1,Web
2005-08,0,1,Web
2005-09,0,1,Web
2005-10,0,2,Web
2005-11,0,1,Web
2005-12,0,1,Web
2006-01,0,1,Web
2006-02,0,1,Web
2006-03,0,1,Web
2006-04,0,1,Web
2006-05,0,1,Web
2006-06,0,1,Web
2006-07,0,1,Web
2006-08,0,1,Web
2006-09,0,1,Web
2006-10,0,2,Web
2006-11,0,1,Web
2006-12,0,2,Web
2007-01,0,1,Web
2007-02,0,1,Web
2007-03,1,1,Web
2007-04,2,1,Web
2007-05,4,1,Web
2007-06,5,1,Web
2007-07,5,1,Web
2007-08,6,2,Web
2007-09,7,2,Web
2007-10,7,2,Web
2007-11,8,2,Web
2007-12,8,2,Web
2008-01,8,2,Web
2008-02,10,2,Web
2008-03,10,1,Web
2008-04,10,1,Web
2008-05,11,1,Web
2008-06,11,1,Web
2008-07,10,2,Web
2008-08,8,2,Web
2008-09,10,2,Web
2008-10,10,2,Web
2008-11,13,2,Web
2008-12,14,2,Web
2009-01,12,2,Web
2009-02,15,2,Web
2009-03,15,2,Web
2009-04,15,2,Web
2009-05,17,2,Web
2009-06,15,2,Web
2009-07,15,2,Web
2009-08,16,2,Web
2009-09,15,2,Web
2009-10,17,2,Web
2009-11,20,2,Web
2009-12,20,2,Web
2010-01,19,2,Web
2010-02,28,2,Web
2010-03,28,2,Web
2010-04,27,2,Web
2010-05,33,2,Web
2010-06,35,2,Web
2010-07,31,2,Web
2010-08,32,2,Web
2010-09,29,2,Web
2010-10,29,2,Web
2010-11,31,2,Web
2010-12,26,2,Web
2011-01,29,3,Web
2011-02,32,3,Web
2011-03,33,3,Web
2011-04,36,3,Web
2011-05,36,3,Web
2011-06,38,3,Web
2011-07,34,3,Web
2011-08,36,3,Web
2011-09,39,3,Web
2011-10,57,3,Web
2011-11,61,3,Web
2011-12,61,3,Web
2012-01,51,3,Web
2012-02,53,3,Web
2012-03,58,3,Web
2012-04,58,3,Web
2012-05,60,3,Web
2012-06,57,3,Web
2012-07,51,3,Web
2012-08,48,4,Web
2012-09,56,4,Web
2012-10,63,4,Web
2012-11,66,4,Web
2012-12,74,3,Web
2013-01,56,3,Web
2013-02,62,4,Web
2013-03,70,4,Web
2013-04,67,4,Web
2013-05,71,4,Web
2013-06,72,4,Web
2013-07,74,4,Web
2013-08,68,5,Web
2013-09,78,4,Web
2013-10,70,5,Web
2013-11,81,4,Web
2013-12,85,4,Web
2014-01,63,5,Web
2014-02,72,4,Web
2014-03,79,4,Web
2014-04,75,4,Web
2014-05,82,4,Web
2014-06,82,4,Web
2014-07,81,4,Web
2014-08,69,5,Web
2014-09,72,4,Web
2014-10,71,5,Web
2014-11,87,5,Web
2014-12,77,4,Web
2015-01,59,5,Web
2015-02,65,5,Web
2015-03,75,5,Web
2015-04,78,4,Web
2015-05,76,4,Web
2015-06,80,5,Web
2015-07,80,5,Web
2015-08,77,5,Web
2015-09,75,5,Web
2015-10,78,5,Web
2015-11,93,5,Web
2015-12,82,5,Web
2016-01,60,5,Web
2016-02,65,5,Web
2016-03,71,6,Web
2016-04,77,5,Web
2016-05,80,5,Web
2016-06,77,5,Web
2016-07,75,6,Web
2016-08,72,6,Web
2016-09,73,6,Web
2016-10,77,6,Web
2016-11,88,6,Web
2016-12,78,6,Web
2017-01,64,6,Web
2017-02,69,6,Web
2017-03,77,6,Web
2017-04,84,6,Web
2017-05,91,5,Web
2017-06,86,6,Web
2017-07,88,6,Web
