country;value_exports;quantity_exported;Quantity unit;Unit value (USD/unit);Growth in exported value between 2019-2023 (%, p.a.);Growth in exported quantity between 2019-2023 (%, p.a.);Total imports growth in value of partner countries between 2019-2023 (%, p.a.);CO2 emission (tons);Average distance between partner countries and all their supplying markets (km)
World;134090;0;No quantity;;2;;7;N/A;
Tunisia;17290;41174;Tons;420;-9;-5;-3;N/A;2448
Guinea;18262;18291;Tons;998;-1;0;1;N/A;6533
Pakistan;2109;14646;Tons;144;10;2;19;N/A;9179
Senegal;14114;12178;Tons;1159;15;12;-2;N/A;7202
United Arab Emirates;4726;9780;Tons;483;22;12;28;N/A;7085
Burkina Faso;5690;6171;Tons;922;26;25;-8;N/A;3879
Bulgaria;4444;5810;Tons;765;17;6;17;N/A;1673
India;759;4960;Tons;153;27;21;3;N/A;11644
Slovakia;2640;4859;Tons;543;-4;-5;1;N/A;1358
Albania;3774;4631;Tons;815;-7;-6;3;N/A;1316
Niger;4261;3837;Tons;1111;3;2;-10;N/A;4452
Mali;3147;2867;Tons;1098;22;23;7;N/A;5111
Ghana;2258;2572;Tons;878;-10;-7;7;N/A;8090
Congo;2971;2426;Tons;1225;11;13;5;N/A;6796
Togo;1111;2357;Tons;471;-10;-13;6;N/A;6213
South Africa;1822;2140;Tons;851;-6;-1;7;N/A;8704
Congo;2459;2115;Tons;1163;-1;4;8;N/A;9150
Hungary;1370;2097;Tons;653;8;1;4;N/A;1030
Benin;1604;1953;Tons;821;-5;-2;23;N/A;6560
Cameroon;2863;1770;Tons;1618;3;-3;1;N/A;5662
Chile;6268;1646;Tons;3808;28;11;15;N/A;10702
