Month,Shein,Thrift,Search_Type
2004-01,0,48,Web
2004-02,0,42,Web
2004-03,0,47,Web
2004-04,0,46,Web
2004-05,0,44,Web
2004-06,0,38,Web
2004-07,0,40,Web
2004-08,0,38,Web
2004-09,0,40,Web
2004-10,0,55,Web
2004-11,0,49,Web
2004-12,0,48,Web
2005-01,0,43,Web
2005-02,0,40,Web
2005-03,0,45,Web
2005-04,0,45,Web
2005-05,0,46,Web
2005-06,0,40,Web
2005-07,0,38,Web
2005-08,0,40,Web
2005-09,0,50,Web
2005-10,0,55,Web
2005-11,0,52,Web
2005-12,0,51,Web
2006-01,0,46,Web
2006-02,0,42,Web
2006-03,0,46,Web
2006-04,0,46,Web
2006-05,0,45,Web
2006-06,0,42,Web
2006-07,0,38,Web
2006-08,0,40,Web
2006-09,0,46,Web
2006-10,0,50,Web
2006-11,0,47,Web
2006-12,0,45,Web
2007-01,1,46,Web
2007-02,0,41,Web
2007-03,0,47,Web
2007-04,0,42,Web
2007-05,0,42,Web
2007-06,0,37,Web
2007-07,0,34,Web
2007-08,0,35,Web
2007-09,0,41,Web
2007-10,0,46,Web
2007-11,0,51,Web
2007-12,0,46,Web
2008-01,0,47,Web
2008-02,0,40,Web
2008-03,0,47,Web
2008-04,0,43,Web
2008-05,0,41,Web
2008-06,0,37,Web
2008-07,0,33,Web
2008-08,0,36,Web
2008-09,0,40,Web
2008-10,0,48,Web
2008-11,0,46,Web
2008-12,0,44,Web
2009-01,0,44,Web
2009-02,0,35,Web
2009-03,0,40,Web
2009-04,0,40,Web
2009-05,0,43,Web
2009-06,0,38,Web
2009-07,0,32,Web
2009-08,0,32,Web
2009-09,0,42,Web
2009-10,0,45,Web
2009-11,0,45,Web
2009-12,0,43,Web
2010-01,0,44,Web
2010-02,0,37,Web
2010-03,0,37,Web
2010-04,0,37,Web
2010-05,0,42,Web
2010-06,0,34,Web
2010-07,0,34,Web
2010-08,0,35,Web
2010-09,0,41,Web
2010-10,0,46,Web
2010-11,0,43,Web
2010-12,0,43,Web
2011-01,0,49,Web
2011-02,0,46,Web
2011-03,0,42,Web
2011-04,0,55,Web
2011-05,0,51,Web
2011-06,0,45,Web
2011-07,0,43,Web
2011-08,0,52,Web
2011-09,0,60,Web
2011-10,0,64,Web
2011-11,0,63,Web
2011-12,0,65,Web
2012-01,0,64,Web
2012-02,0,59,Web
2012-03,0,60,Web
2012-04,0,62,Web
2012-05,0,57,Web
2012-06,0,52,Web
2012-07,0,50,Web
2012-08,0,50,Web
2012-09,0,60,Web
2012-10,0,62,Web
2012-11,0,66,Web
2012-12,0,65,Web
2013-01,0,68,Web
2013-02,0,62,Web
2013-03,0,66,Web
2013-04,0,64,Web
2013-05,0,59,Web
2013-06,0,55,Web
2013-07,0,52,Web
2013-08,0,53,Web
2013-09,0,66,Web
2013-10,0,72,Web
2013-11,0,74,Web
2013-12,0,72,Web
2014-01,0,73,Web
2014-02,0,63,Web
2014-03,0,70,Web
2014-04,0,69,Web
2014-05,0,65,Web
2014-06,0,57,Web
2014-07,0,47,Web
2014-08,0,51,Web
2014-09,0,58,Web
2014-10,0,64,Web
2014-11,0,64,Web
2014-12,0,62,Web
2015-01,0,65,Web
2015-02,0,62,Web
2015-03,0,63,Web
2015-04,0,64,Web
2015-05,0,63,Web
2015-06,0,53,Web
2015-07,0,49,Web
2015-08,0,51,Web
2015-09,0,63,Web
2015-10,0,70,Web
2015-11,0,68,Web
2015-12,0,68,Web
2016-01,0,77,Web
2016-02,0,75,Web
2016-03,0,75,Web
2016-04,0,78,Web
2016-05,0,76,Web
2016-06,0,66,Web
2016-07,0,60,Web
2016-08,0,59,Web
2016-09,0,68,Web
2016-10,0,83,Web
2016-11,0,86,Web
2016-12,0,81,Web
2017-01,0,80,Web
2017-02,0,88,Web
2017-03,0,89,Web
2017-04,0,83,Web
2017-05,0,83,Web
2017-06,0,70,Web
2017-07,0,65,Web
2017-08,0,74,Web
2017-09,0,84,Web
2017-10,0,93,Web
2017-11,0,100,Web
2017-12,0,90,Web
2018-01,0,91,Web
2018-02,0,85,Web
2018-03,0,91,Web
2018-04,0,87,Web
2018-05,0,73,Web
2018-06,0,68,Web
2018-07,0,62,Web
2018-08,0,68,Web
2018-09,0,78,Web
2018-10,0,80,Web
2018-11,0,79,Web
2018-12,0,78,Web
2019-01,0,80,Web
2019-02,0,76,Web
2019-03,0,84,Web
2019-04,0,77,Web
2019-05,0,78,Web
2019-06,0,62,Web
2019-07,0,59,Web
2019-08,0,63,Web
2019-09,0,71,Web
2019-10,0,71,Web
2019-11,0,77,Web
2019-12,0,75,Web
2020-01,0,80,Web
2020-02,0,75,Web
2020-03,0,75,Web
2020-04,0,53,Web
2020-05,0,58,Web
2020-06,0,58,Web
2020-07,0,53,Web
2020-08,0,58,Web
2020-09,0,70,Web
2020-10,0,83,Web
2020-11,0,95,Web
2020-12,0,85,Web
2021-01,0,82,Web
2021-02,0,84,Web
2021-03,1,91,Web
2021-04,1,82,Web
2021-05,3,80,Web
2021-06,4,67,Web
2021-07,7,65,Web
2021-08,10,66,Web
2021-09,14,84,Web
2021-10,14,91,Web
2021-11,15,88,Web
2021-12,18,99,Web
2022-01,21,96,Web
2022-02,27,86,Web
2022-03,30,90,Web
2022-04,31,89,Web
2022-05,36,90,Web
2022-06,42,69,Web
2022-07,47,68,Web
2022-08,45,73,Web
2022-09,44,80,Web
2022-10,57,97,Web
2022-11,70,88,Web
2022-12,52,86,Web
2023-01,47,87,Web
2023-02,48,88,Web
2023-03,50,91,Web
2023-04,45,85,Web
2023-05,47,84,Web
2023-06,51,70,Web
2023-07,51,68,Web
2023-08,47,72,Web
2023-09,51,74,Web
2023-10,53,85,Web
2023-11,64,87,Web
2023-12,48,79,Web
2024-01,45,78,Web
2024-02,40,78,Web
2024-03,45,81,Web
2024-04,43,84,Web
2024-05,41,79,Web
2024-06,42,70,Web
2024-07,47,63,Web
2024-08,32,65,Web
