country;value_exports;quantity_exported;Quantity unit;Unit value (USD/unit);Growth in exported value between 2019-2023 (%, p.a.);Growth in exported quantity between 2019-2023 (%, p.a.);Total imports growth in value of partner countries between 2019-2023 (%, p.a.);Average distance between partner countries and all their supplying markets (km)
World;93829;69107;Tons;1358;6;-3;7;
United Arab Emirates;14829;13567;Tons;1093;9;-7;28;7085
Uganda;9417;8560;Tons;1100;2;-2;7;9281
Kenya;10856;8224;Tons;1320;7;0;6;8690
Thailand;5328;4739;Tons;1124;7;4;2;4829
Congo, Democratic Republic of the;2632;3893;Tons;676;-10;-13;8;9150
Malaysia;2849;2958;Tons;963;1;-2;8;4524
Ghana;1404;2944;Tons;477;10;5;7;8090
Tanzania, United Republic of;3765;2901;Tons;1298;-8;-11;-1;8849
Mozambique;2696;1605;Tons;1680;-11;-12;-17;7570
Zambia;2877;1579;Tons;1822;8;5;38;8242
Sierra Leone;1986;1508;Tons;1317;72;53;8;7896
Philippines;2131;1415;Tons;1506;-11;-13;-5;3652
Rwanda;2066;1376;Tons;1501;21;15;15;6774
Malawi;2238;1195;Tons;1873;-7;-13;13;9219
Japan;5726;1155;Tons;4958;34;28;20;8209
Burundi;1118;888;Tons;1259;21;16;14;7687
Madagascar;932;847;Tons;1100;7;8;7;8937
Angola;724;778;Tons;931;-9;-18;8;9348
France;3129;740;Tons;4228;129;113;43;2325
Chile;872;652;Tons;1337;-18;-18;15;10702
